time_s,x_m,y_m,course_deg,speed_ms,rudder_deg,rpm_percent,rot_deg_min
6.00,-5993.70,24.84,45.00,4.604,0.00,40.0,0.00
7.00,-5990.48,28.06,45.00,4.552,0.00,40.0,0.00
8.00,-5987.30,31.25,45.00,4.501,0.00,40.0,0.00
9.00,-5984.15,34.39,45.00,4.451,0.00,40.0,0.00
10.00,-5981.04,37.51,45.00,4.402,0.00,40.0,0.00
11.00,-5977.96,40.58,45.00,4.354,0.00,40.0,0.00
12.00,-5974.91,43.63,45.00,4.307,0.00,40.0,0.00
13.00,-5971.90,46.64,45.00,4.261,0.00,40.0,0.00
14.00,-5968.92,49.62,45.00,4.216,0.00,40.0,0.00
15.00,-5965.97,52.57,45.00,4.171,0.00,40.0,0.00
16.00,-5963.05,55.49,45.00,4.128,0.00,40.0,0.00
17.00,-5960.16,58.38,45.00,4.085,0.00,40.0,0.00
18.00,-5957.30,61.24,45.00,4.044,0.00,40.0,0.00
19.00,-5954.47,64.07,45.00,4.003,0.00,40.0,0.00
20.00,-5951.67,66.87,45.00,3.963,0.00,40.0,0.00
21.00,-5948.89,69.65,45.00,3.924,0.00,40.0,0.00
22.00,-5946.15,72.39,45.00,3.885,0.00,40.0,0.00
23.00,-5943.43,75.11,45.00,3.847,0.00,40.0,0.00
24.00,-5940.73,77.81,45.00,3.810,0.00,40.0,0.00
25.00,-5938.06,80.48,45.00,3.774,0.00,40.0,0.00
26.00,-5935.42,83.12,45.00,3.739,0.00,40.0,0.00
27.00,-5932.80,85.74,45.00,3.704,0.00,40.0,0.00
28.00,-5930.21,88.34,45.00,3.670,0.00,40.0,0.00
29.00,-5927.63,90.91,45.00,3.636,0.00,40.0,0.00
30.00,-5925.09,93.46,45.00,3.604,0.00,40.0,0.00
31.00,-5922.56,95.98,45.00,3.572,0.00,40.0,0.00
32.00,-5920.06,98.48,45.00,3.540,0.00,40.0,0.00
33.00,-5917.58,100.97,45.00,3.509,0.00,40.0,0.00
34.00,-5915.12,103.43,45.00,3.479,0.00,40.0,0.00
35.00,-5912.68,105.87,45.00,3.450,0.00,40.0,0.00
36.00,-5910.26,108.28,45.00,3.421,0.00,40.0,0.00
37.00,-5907.86,110.68,45.00,3.392,0.00,40.0,0.00
38.00,-5905.48,113.06,45.00,3.364,0.00,40.0,0.00
39.00,-5903.12,115.42,45.00,3.337,0.00,40.0,0.00
40.00,-5900.78,117.76,45.00,3.310,0.00,40.0,0.00
41.00,-5898.46,120.08,45.00,3.284,0.00,40.0,0.00
42.00,-5896.15,122.39,45.00,3.258,0.00,40.0,0.00
43.00,-5893.87,124.67,45.00,3.233,5.00,40.0,0.06
44.00,-5891.60,126.94,45.00,3.209,5.00,40.0,0.11
45.00,-5889.35,129.19,45.01,3.184,5.00,40.0,0.17
46.00,-5887.11,131.43,45.01,3.161,5.00,40.0,0.22
47.00,-5884.89,133.65,45.01,3.138,5.00,40.0,0.27
48.00,-5882.69,135.85,45.02,3.115,5.00,40.0,0.32
49.00,-5880.50,138.04,45.02,3.093,5.00,40.0,0.36
50.00,-5878.32,140.21,45.03,3.081,10.00,50.0,0.46
51.00,-5876.15,142.38,45.04,3.069,10.00,50.0,0.56
52.00,-5873.99,144.54,45.05,3.058,10.00,50.0,0.66
53.00,-5871.83,146.70,45.07,3.047,10.00,50.0,0.75
54.00,-5869.68,148.84,45.08,3.036,10.00,50.0,0.84
