time_s,x_m,y_m,course_deg,speed_ms,rudder_deg,rpm_percent
6.00,5973.73,25.03,315.00,4.670,0.00,50.0
7.00,5970.46,28.31,315.00,4.627,0.00,50.0
8.00,5967.22,31.55,315.00,4.584,0.00,50.0
9.00,5964.00,34.76,315.00,4.543,0.00,50.0
10.00,5960.82,37.94,315.00,4.502,0.00,50.0
11.00,5957.67,41.10,315.00,4.462,0.00,50.0
12.00,5954.54,44.22,315.00,4.423,0.00,50.0
13.00,5951.44,47.32,315.00,4.384,0.00,50.0
14.00,5948.37,50.40,315.00,4.346,0.00,50.0
15.00,5945.32,53.45,315.00,4.309,0.00,50.0
16.00,5942.30,56.47,315.00,4.273,0.00,50.0
17.00,5939.30,59.46,315.00,4.238,0.00,50.0
18.00,5936.33,62.44,315.00,4.203,0.00,50.0
19.00,5933.38,65.38,315.00,4.169,0.00,50.0
20.00,5930.46,68.31,315.00,4.136,0.00,50.0
21.00,5927.55,71.21,315.00,4.103,0.00,50.0
22.00,5924.68,74.09,315.00,4.071,0.00,50.0
23.00,5921.82,76.94,315.00,4.039,0.00,50.0
24.00,5918.99,79.78,315.00,4.009,0.00,50.0
25.00,5916.17,82.59,315.00,3.978,0.00,50.0
26.00,5913.38,85.38,315.00,3.949,0.00,50.0
27.00,5910.61,88.16,315.00,3.920,0.00,50.0
28.00,5907.86,90.91,315.00,3.892,0.00,50.0
29.00,5905.12,93.64,315.00,3.864,0.00,50.0
30.00,5902.41,96.35,315.00,3.836,0.00,50.0
31.00,5899.72,99.05,315.00,3.810,0.00,50.0
32.00,5897.04,101.72,315.00,3.784,0.00,50.0
33.00,5894.39,104.38,315.00,3.758,0.00,50.0
34.00,5891.75,107.02,315.00,3.733,0.00,50.0
35.00,5889.12,109.64,315.00,3.708,0.00,50.0
36.00,5886.52,112.24,315.00,3.684,0.00,50.0
37.00,5883.93,114.83,315.00,3.660,0.00,50.0
38.00,5881.36,117.40,315.00,3.637,0.00,50.0
39.00,5878.80,119.96,315.00,3.614,0.00,50.0
40.00,5876.26,122.50,315.00,3.592,0.00,50.0
41.00,5873.74,125.02,315.00,3.570,0.00,50.0
42.00,5871.23,127.53,315.00,3.549,0.00,50.0
43.00,5868.74,130.03,315.00,3.528,0.00,50.0
44.00,5866.26,132.51,315.00,3.507,0.00,50.0
45.00,5863.79,134.97,315.00,3.487,0.00,50.0
46.00,5861.34,137.43,315.00,3.467,0.00,50.0
47.00,5858.90,139.86,315.00,3.448,0.00,50.0
48.00,5856.48,142.29,315.00,3.429,0.00,50.0
49.00,5854.06,144.70,315.00,3.410,0.00,50.0
50.00,5851.66,147.10,315.00,3.392,0.00,50.0
51.00,5849.28,149.49,315.00,3.374,0.00,50.0
52.00,5846.91,151.86,315.00,3.357,0.00,50.0
53.00,5844.54,154.22,315.00,3.340,0.00,50.0
54.00,5842.19,156.57,315.00,3.323,0.00,50.0
55.00,5839.86,158.91,315.00,3.306,0.00,50.0
56.00,5837.53,161.23,315.00,3.290,0.00,50.0
57.00,5835.21,163.55,315.00,3.275,0.00,50.0
58.00,5832.91,165.85,315.00,3.259,0.00,50.0
59.00,5830.62,168.15,315.00,3.244,0.00,50.0
60.00,5828.33,170.43,315.00,3.229,0.00,50.0
61.00,5826.06,172.70,315.00,3.214,0.00,50.0
62.00,5823.80,174.97,315.00,3.200,0.00,50.0
63.00,5821.54,177.22,315.00,3.186,0.00,50.0
64.00,5819.30,179.46,315.00,3.172,0.00,50.0
65.00,5817.07,181.70,315.00,3.159,0.00,50.0
66.00,5814.84,183.92,315.00,3.146,0.00,50.0
67.00,5812.63,186.14,315.00,3.133,0.00,50.0
68.00,5810.42,188.34,315.00,3.120,0.00,50.0
69.00,5808.22,190.54,315.00,3.108,0.00,50.0
70.00,5806.03,192.73,315.00,3.096,0.00,50.0
71.00,5803.85,194.91,315.00,3.084,0.00,50.0
72.00,5801.68,197.08,315.00,3.072,0.00,50.0
73.00,5799.52,199.25,315.00,3.061,0.00,50.0
74.00,5797.36,201.40,315.00,3.049,0.00,50.0
75.00,5795.21,203.55,315.00,3.038,0.00,50.0
76.00,5793.07,205.69,315.00,3.028,0.00,50.0
77.00,5790.94,207.83,315.00,3.017,0.00,50.0
78.00,5788.81,209.95,315.00,3.007,0.00,50.0
79.00,5786.69,212.07,315.00,2.997,0.00,50.0
80.00,5784.58,214.18,315.00,2.987,0.00,50.0
81.00,5782.48,216.29,315.00,2.977,0.00,50.0
82.00,5780.38,218.39,315.00,2.967,0.00,50.0
83.00,5778.29,220.48,315.00,2.958,0.00,50.0
84.00,5776.20,222.56,315.00,2.949,0.00,50.0
85.00,5774.12,224.64,315.00,2.940,0.00,50.0
86.00,5772.05,226.71,315.00,2.931,0.00,50.0
87.00,5769.98,228.78,315.00,2.923,0.00,50.0
88.00,5767.92,230.84,315.00,2.914,0.00,50.0
89.00,5765.87,232.90,315.00,2.906,0.00,50.0
90.00,5763.82,234.95,315.00,2.898,0.00,50.0
91.00,5761.78,236.99,315.00,2.890,0.00,50.0
92.00,5759.74,239.03,315.00,2.882,0.00,50.0
93.00,5757.71,241.06,315.00,2.874,0.00,50.0
94.00,5755.68,243.09,315.00,2.867,0.00,50.0
95.00,5753.66,245.11,315.00,2.859,0.00,50.0
96.00,5751.64,247.12,315.00,2.852,0.00,50.0
97.00,5749.63,249.14,315.00,2.845,0.00,50.0
98.00,5747.62,251.14,315.00,2.838,0.00,50.0
99.00,5745.62,253.15,315.00,2.832,0.00,50.0
100.00,5743.62,255.14,315.00,2.825,0.00,50.0
101.00,5741.63,257.14,315.00,2.818,0.00,50.0
102.00,5739.64,259.12,315.00,2.812,0.00,50.0
103.00,5737.66,261.11,315.00,2.806,0.00,50.0
104.00,5735.68,263.09,315.00,2.800,0.00,50.0
105.00,5733.70,265.06,315.00,2.794,0.00,50.0
106.00,5731.73,267.04,315.00,2.788,0.00,50.0
107.00,5729.76,269.00,315.00,2.782,0.00,50.0
108.00,5727.80,270.97,315.00,2.776,0.00,50.0
109.00,5725.84,272.92,315.00,2.771,0.00,50.0
110.00,5723.88,274.88,315.00,2.765,0.00,50.0
111.00,5721.93,276.83,315.00,2.760,0.00,50.0
112.00,5719.98,278.78,315.00,2.755,0.00,50.0
113.00,5718.04,280.72,315.00,2.750,0.00,50.0
114.00,5716.10,282.67,315.00,2.745,0.00,50.0
115.00,5714.16,284.60,315.00,2.740,0.00,50.0
116.00,5712.23,286.54,315.00,2.735,0.00,50.0
117.00,5710.30,288.47,315.00,2.730,0.00,50.0
118.00,5708.37,290.40,315.00,2.726,0.00,50.0
119.00,5706.44,292.32,315.00,2.721,0.00,50.0
120.00,5704.52,294.24,315.00,2.717,0.00,50.0
121.00,5702.61,296.16,315.00,2.713,0.00,50.0
122.00,5700.69,298.07,315.00,2.708,0.00,50.0
123.00,5698.78,299.99,315.00,2.704,0.00,50.0
124.00,5696.87,301.90,315.00,2.700,0.00,50.0
125.00,5694.96,303.80,315.00,2.696,0.00,50.0
126.00,5693.06,305.71,315.00,2.692,0.00,50.0
127.00,5691.16,307.61,315.00,2.688,0.00,50.0
128.00,5689.26,309.50,315.00,2.685,0.00,50.0
129.00,5687.36,311.40,315.00,2.681,0.00,50.0
130.00,5685.47,313.29,315.00,2.677,0.00,50.0
