time_s,x_m,y_m,course_deg,speed_ms,rudder_deg,rpm_percent,rot_deg_min
5.00,-5996.95,21.59,45.00,4.658,0.00,40.0,0.00
6.00,-5993.70,24.84,45.00,4.604,0.00,40.0,0.00
7.00,-5990.48,28.06,45.00,4.552,0.00,40.0,0.00
8.00,-5987.30,31.25,45.00,4.501,0.00,40.0,0.00
9.00,-5984.15,34.39,45.00,4.451,0.00,40.0,0.00
10.00,-5981.04,37.51,45.00,4.402,0.00,40.0,0.00
11.00,-5977.96,40.58,45.00,4.354,0.00,40.0,0.00
12.00,-5974.91,43.63,45.00,4.307,0.00,40.0,0.00
13.00,-5971.90,46.64,45.00,4.261,0.00,40.0,0.00
14.00,-5968.92,49.62,45.00,4.216,0.00,40.0,0.00
15.00,-5965.97,52.57,45.00,4.171,0.00,40.0,0.00
16.00,-5963.05,55.49,45.00,4.128,0.00,40.0,0.00
17.00,-5960.16,58.38,45.00,4.085,5.00,40.0,0.06
18.00,-5957.30,61.24,45.00,4.044,5.00,40.0,0.11
19.00,-5954.47,64.07,45.01,4.003,5.00,40.0,0.17
20.00,-5951.67,66.87,45.01,3.963,5.00,40.0,0.22
21.00,-5948.89,69.65,45.01,3.924,5.00,40.0,0.27
22.00,-5946.15,72.39,45.02,3.885,5.00,40.0,0.32
23.00,-5943.42,75.11,45.02,3.847,5.00,40.0,0.36
24.00,-5940.73,77.81,45.03,3.810,5.00,40.0,0.41
25.00,-5938.06,80.47,45.04,3.774,5.00,40.0,0.45
26.00,-5935.41,83.11,45.05,3.739,5.00,40.0,0.49
27.00,-5932.79,85.73,45.06,3.704,5.00,40.0,0.53
28.00,-5930.19,88.32,45.07,3.670,5.00,40.0,0.57
29.00,-5927.62,90.89,45.08,3.636,5.00,40.0,0.61
30.00,-5925.07,93.44,45.09,3.604,5.00,40.0,0.65
31.00,-5922.54,95.96,45.10,3.572,5.00,40.0,0.68
32.00,-5920.03,98.46,45.11,3.540,5.00,40.0,0.72
33.00,-5917.54,100.93,45.12,3.509,5.00,40.0,0.75
34.00,-5915.08,103.39,45.14,3.479,5.00,40.0,0.78
35.00,-5912.63,105.82,45.15,3.450,5.00,40.0,0.81
36.00,-5910.21,108.24,45.16,3.421,10.00,40.0,0.90
37.00,-5907.80,110.63,45.18,3.392,10.00,40.0,0.99
38.00,-5905.42,113.00,45.20,3.364,10.00,40.0,1.07
39.00,-5903.05,115.35,45.22,3.337,10.00,40.0,1.15
40.00,-5900.70,117.68,45.24,3.310,10.00,40.0,1.22
41.00,-5898.37,119.99,45.26,3.284,10.00,40.0,1.30
42.00,-5896.05,122.29,45.28,3.258,10.00,40.0,1.37
43.00,-5893.76,124.56,45.31,3.233,10.00,40.0,1.44
44.00,-5891.48,126.82,45.33,3.209,10.00,40.0,1.50
45.00,-5889.21,129.06,45.36,3.184,10.00,40.0,1.57
46.00,-5886.96,131.28,45.38,3.161,10.00,40.0,1.63
47.00,-5884.73,133.48,45.41,3.138,10.00,40.0,1.69
48.00,-5882.51,135.67,45.44,3.115,10.00,40.0,1.75
49.00,-5880.31,137.84,45.47,3.093,15.00,40.0,1.86
50.00,-5878.12,139.99,45.51,3.071,15.00,40.0,1.97
51.00,-5875.94,142.13,45.54,3.049,15.00,40.0,2.07
52.00,-5873.78,144.25,45.58,3.028,15.00,40.0,2.18
53.00,-5871.63,146.36,45.61,3.008,15.00,40.0,2.28
54.00,-5869.50,148.45,45.65,2.988,15.00,40.0,2.37
55.00,-5867.38,150.52,45.69,2.968,15.00,40.0,2.46
56.00,-5865.27,152.58,45.74,2.948,15.00,40.0,2.55
57.00,-5863.17,154.62,45.78,2.929,15.00,40.0,2.64
58.00,-5861.08,156.65,45.83,2.911,15.00,40.0,2.72
59.00,-5859.01,158.67,45.87,2.893,15.00,40.0,2.80
60.00,-5856.94,160.67,45.92,2.875,15.00,40.0,2.88
61.00,-5854.89,162.66,45.97,2.857,15.00,40.0,2.96
62.00,-5852.85,164.63,46.02,2.840,15.00,40.0,3.03
63.00,-5850.82,166.59,46.07,2.823,15.00,40.0,3.10
64.00,-5848.79,168.54,46.13,2.807,15.00,40.0,3.17
65.00,-5846.78,170.48,46.18,2.791,15.00,40.0,3.23
66.00,-5844.78,172.40,46.23,2.775,15.00,40.0,3.30
67.00,-5842.79,174.31,46.29,2.759,15.00,40.0,3.36
68.00,-5840.80,176.20,46.35,2.744,15.00,40.0,3.42
69.00,-5838.83,178.09,46.41,2.729,15.00,40.0,3.48
70.00,-5836.86,179.96,46.46,2.715,15.00,40.0,3.53
71.00,-5834.91,181.82,46.52,2.700,15.00,40.0,3.59
72.00,-5832.96,183.67,46.58,2.686,15.00,40.0,3.64
73.00,-5831.01,185.50,46.65,2.673,15.00,40.0,3.69
74.00,-5829.08,187.33,46.71,2.659,15.00,40.0,3.74
75.00,-5827.15,189.14,46.77,2.646,15.00,40.0,3.78
76.00,-5825.24,190.95,46.84,2.633,15.00,40.0,3.83
77.00,-5823.32,192.74,46.90,2.621,15.00,40.0,3.87
78.00,-5821.42,194.52,46.97,2.608,15.00,40.0,3.91
79.00,-5819.52,196.29,47.03,2.596,15.00,40.0,3.96
80.00,-5817.63,198.05,47.10,2.584,15.00,40.0,3.99
81.00,-5815.75,199.81,47.16,2.572,15.00,40.0,4.03
82.00,-5813.87,201.55,47.23,2.561,15.00,40.0,4.07
83.00,-5812.00,203.28,47.30,2.550,15.00,40.0,4.11
84.00,-5810.13,205.00,47.37,2.539,15.00,40.0,4.14
85.00,-5808.27,206.71,47.44,2.528,15.00,40.0,4.17
86.00,-5806.42,208.41,47.51,2.517,15.00,40.0,4.21
87.00,-5804.57,210.11,47.58,2.507,15.00,40.0,4.24
88.00,-5802.73,211.79,47.65,2.497,15.00,40.0,4.27
89.00,-5800.89,213.47,47.72,2.487,15.00,40.0,4.30
90.00,-5799.06,215.13,47.80,2.477,15.00,40.0,4.32
91.00,-5797.23,216.79,47.87,2.468,15.00,40.0,4.35
92.00,-5795.40,218.44,47.94,2.458,15.00,40.0,4.38
93.00,-5793.59,220.08,48.01,2.449,15.00,40.0,4.40
94.00,-5791.77,221.71,48.09,2.440,15.00,40.0,4.43
95.00,-5789.96,223.34,48.16,2.431,15.00,40.0,4.45
96.00,-5788.16,224.95,48.24,2.423,15.00,40.0,4.48
97.00,-5786.36,226.56,48.31,2.414,15.00,40.0,4.50
98.00,-5784.56,228.16,48.39,2.406,15.00,40.0,4.52
99.00,-5782.77,229.75,48.46,2.398,15.00,40.0,4.54
100.00,-5780.98,231.34,48.54,2.390,15.00,40.0,4.56
101.00,-5779.19,232.92,48.62,2.382,15.00,40.0,4.58
102.00,-5777.41,234.49,48.69,2.374,15.00,40.0,4.60
103.00,-5775.63,236.05,48.77,2.367,15.00,40.0,4.62
104.00,-5773.86,237.60,48.85,2.360,15.00,40.0,4.63
105.00,-5772.09,239.15,48.92,2.352,15.00,40.0,4.65
106.00,-5770.32,240.69,49.00,2.345,15.00,40.0,4.67
107.00,-5768.56,242.23,49.08,2.338,15.00,40.0,4.68
108.00,-5766.79,243.75,49.16,2.332,15.00,40.0,4.70
109.00,-5765.03,245.27,49.24,2.325,15.00,40.0,4.71
110.00,-5763.28,246.79,49.31,2.319,15.00,40.0,4.73
111.00,-5761.53,248.30,49.39,2.312,15.00,40.0,4.74
112.00,-5759.77,249.80,49.47,2.306,15.00,40.0,4.75
113.00,-5758.03,251.29,49.55,2.300,15.00,40.0,4.77
114.00,-5756.28,252.78,49.63,2.294,15.00,40.0,4.78
115.00,-5754.54,254.26,49.71,2.288,15.00,40.0,4.79
116.00,-5752.80,255.74,49.79,2.282,15.00,40.0,4.80
117.00,-5751.06,257.21,49.87,2.277,15.00,40.0,4.82
118.00,-5749.32,258.67,49.95,2.271,15.00,40.0,4.83
119.00,-5747.59,260.13,50.03,2.266,15.00,40.0,4.84
120.00,-5745.85,261.58,50.11,2.260,15.00,40.0,4.85
121.00,-5744.12,263.03,50.20,2.255,15.00,40.0,4.86
122.00,-5742.40,264.47,50.28,2.250,15.00,40.0,4.87
123.00,-5740.67,265.90,50.36,2.245,15.00,40.0,4.88
124.00,-5738.94,267.33,50.44,2.240,15.00,40.0,4.88
125.00,-5737.22,268.75,50.52,2.235,15.00,40.0,4.89
126.00,-5735.50,270.17,50.60,2.231,15.00,40.0,4.90
127.00,-5733.78,271.59,50.68,2.226,15.00,40.0,4.91
128.00,-5732.06,272.99,50.77,2.221,15.00,40.0,4.92
129.00,-5730.34,274.39,50.85,2.217,15.00,40.0,4.92
130.00,-5728.63,275.79,50.93,2.213,15.00,40.0,4.93
131.00,-5726.91,277.18,51.01,2.208,15.00,40.0,4.94
132.00,-5725.20,278.57,51.10,2.204,15.00,40.0,4.95
133.00,-5723.49,279.95,51.18,2.200,15.00,40.0,4.95
134.00,-5721.78,281.33,51.26,2.196,15.00,40.0,4.96
135.00,-5720.07,282.70,51.34,2.192,15.00,40.0,4.96
136.00,-5718.36,284.07,51.43,2.188,15.00,40.0,4.97
137.00,-5716.65,285.43,51.51,2.185,15.00,40.0,4.98
138.00,-5714.94,286.79,51.59,2.181,15.00,40.0,4.98
139.00,-5713.24,288.14,51.68,2.177,15.00,40.0,4.99
140.00,-5711.53,289.49,51.76,2.174,15.00,40.0,4.99
141.00,-5709.83,290.83,51.84,2.170,15.00,40.0,5.00
142.00,-5708.12,292.17,51.92,2.167,15.00,40.0,5.00
143.00,-5706.42,293.50,52.01,2.164,15.00,40.0,5.01
144.00,-5704.72,294.83,52.09,2.160,15.00,40.0,5.01
145.00,-5703.01,296.16,52.18,2.157,15.00,40.0,5.02
146.00,-5701.31,297.48,52.26,2.154,15.00,40.0,5.02
147.00,-5699.61,298.80,52.34,2.151,15.00,40.0,5.02
148.00,-5697.91,300.11,52.43,2.148,15.00,40.0,5.03
149.00,-5696.21,301.42,52.51,2.145,15.00,40.0,5.03
150.00,-5694.51,302.72,52.59,2.142,15.00,40.0,5.04
151.00,-5692.81,304.02,52.68,2.139,15.00,40.0,5.04
152.00,-5691.11,305.32,52.76,2.136,15.00,40.0,5.04
153.00,-5689.42,306.61,52.85,2.134,15.00,40.0,5.05
154.00,-5687.72,307.89,52.93,2.131,15.00,40.0,5.05
155.00,-5686.02,309.18,53.02,2.128,15.00,40.0,5.05
156.00,-5684.32,310.46,53.10,2.126,15.00,40.0,5.06
157.00,-5682.62,311.73,53.18,2.123,15.00,40.0,5.06
158.00,-5680.93,313.00,53.27,2.121,15.00,40.0,5.06
159.00,-5679.23,314.27,53.35,2.118,15.00,40.0,5.06
160.00,-5677.53,315.53,53.44,2.116,15.00,40.0,5.07
161.00,-5675.83,316.79,53.52,2.114,15.00,40.0,5.07
162.00,-5674.13,318.05,53.61,2.111,15.00,40.0,5.07
163.00,-5672.44,319.30,53.69,2.109,15.00,40.0,5.07
164.00,-5670.74,320.54,53.78,2.107,15.00,40.0,5.08
165.00,-5669.04,321.79,53.86,2.105,15.00,40.0,5.08
166.00,-5667.34,323.03,53.94,2.103,15.00,40.0,5.08
167.00,-5665.64,324.27,54.03,2.101,15.00,40.0,5.08
168.00,-5663.95,325.50,54.11,2.099,15.00,40.0,5.08
169.00,-5662.25,326.73,54.20,2.097,15.00,40.0,5.09
170.00,-5660.55,327.95,54.28,2.095,15.00,40.0,5.09
171.00,-5658.85,329.17,54.37,2.093,15.00,40.0,5.09
172.00,-5657.15,330.39,54.45,2.091,15.00,40.0,5.09
173.00,-5655.45,331.61,54.54,2.089,15.00,40.0,5.09
174.00,-5653.75,332.82,54.62,2.087,15.00,40.0,5.10
175.00,-5652.05,334.03,54.71,2.086,15.00,40.0,5.10
176.00,-5650.35,335.23,54.79,2.084,15.00,40.0,5.10
177.00,-5648.65,336.43,54.88,2.082,15.00,40.0,5.10
178.00,-5646.94,337.63,54.96,2.081,15.00,40.0,5.10
179.00,-5645.24,338.82,55.05,2.079,15.00,40.0,5.10
180.00,-5643.54,340.01,55.13,2.077,15.00,40.0,5.10
181.00,-5641.84,341.20,55.22,2.076,15.00,40.0,5.11
182.00,-5640.13,342.38,55.30,2.074,15.00,40.0,5.11
183.00,-5638.43,343.56,55.39,2.073,15.00,40.0,5.11
184.00,-5636.72,344.74,55.47,2.071,15.00,40.0,5.11
185.00,-5635.02,345.91,55.56,2.070,15.00,40.0,5.11
186.00,-5633.31,347.08,55.64,2.069,15.00,40.0,5.11
187.00,-5631.61,348.25,55.73,2.067,15.00,40.0,5.11
188.00,-5629.90,349.41,55.81,2.066,15.00,40.0,5.11
189.00,-5628.19,350.57,55.90,2.065,15.00,40.0,5.11
190.00,-5626.48,351.73,55.98,2.063,15.00,40.0,5.12
191.00,-5624.77,352.88,56.07,2.062,15.00,40.0,5.12
192.00,-5623.06,354.03,56.16,2.061,15.00,40.0,5.12
193.00,-5621.35,355.18,56.24,2.060,15.00,40.0,5.12
194.00,-5619.64,356.32,56.33,2.058,15.00,40.0,5.12
195.00,-5617.93,357.46,56.41,2.057,15.00,40.0,5.12
196.00,-5616.22,358.60,56.50,2.056,15.00,40.0,5.12
197.00,-5614.50,359.73,56.58,2.055,15.00,40.0,5.12
198.00,-5612.79,360.87,56.67,2.054,15.00,40.0,5.12
199.00,-5611.07,361.99,56.75,2.053,15.00,40.0,5.12
200.00,-5609.36,363.12,56.84,2.052,15.00,40.0,5.12
201.00,-5607.64,364.24,56.92,2.051,15.00,40.0,5.12
202.00,-5605.92,365.36,57.01,2.050,15.00,40.0,5.12
203.00,-5604.20,366.47,57.09,2.049,15.00,40.0,5.13
204.00,-5602.49,367.59,57.18,2.048,15.00,40.0,5.13
205.00,-5600.77,368.70,57.27,2.047,15.00,40.0,5.13
206.00,-5599.04,369.80,57.35,2.046,15.00,40.0,5.13
207.00,-5597.32,370.91,57.44,2.045,15.00,40.0,5.13
208.00,-5595.60,372.01,57.52,2.044,15.00,40.0,5.13
209.00,-5593.88,373.10,57.61,2.043,15.00,40.0,5.13
210.00,-5592.15,374.20,57.69,2.042,15.00,40.0,5.13
211.00,-5590.43,375.29,57.78,2.041,15.00,40.0,5.13
212.00,-5588.70,376.38,57.86,2.041,15.00,40.0,5.13
213.00,-5586.97,377.46,57.95,2.040,15.00,40.0,5.13
214.00,-5585.24,378.54,58.03,2.039,15.00,40.0,5.13
215.00,-5583.52,379.62,58.12,2.038,15.00,40.0,5.13
216.00,-5581.79,380.70,58.21,2.037,15.00,40.0,5.13
217.00,-5580.05,381.77,58.29,2.037,15.00,40.0,5.13
218.00,-5578.32,382.84,58.38,2.036,15.00,40.0,5.13
219.00,-5576.59,383.91,58.46,2.035,15.00,40.0,5.13
220.00,-5574.86,384.97,58.55,2.035,15.00,40.0,5.13
221.00,-5573.12,386.03,58.63,2.034,15.00,40.0,5.13
222.00,-5571.38,387.09,58.72,2.033,15.00,40.0,5.13
223.00,-5569.65,388.15,58.80,2.032,15.00,40.0,5.13
224.00,-5567.91,389.20,58.89,2.032,15.00,40.0,5.13
225.00,-5566.17,390.25,58.98,2.031,15.00,40.0,5.13
226.00,-5564.43,391.30,59.06,2.031,15.00,40.0,5.13
227.00,-5562.69,392.34,59.15,2.030,15.00,40.0,5.13
228.00,-5560.95,393.38,59.23,2.029,15.00,40.0,5.14
229.00,-5559.20,394.42,59.32,2.029,15.00,40.0,5.14
230.00,-5557.46,395.45,59.40,2.028,15.00,40.0,5.14
231.00,-5555.71,396.49,59.49,2.028,15.00,40.0,5.14
232.00,-5553.97,397.51,59.57,2.027,15.00,40.0,5.14
233.00,-5552.22,398.54,59.66,2.027,15.00,40.0,5.14
234.00,-5550.47,399.56,59.75,2.026,15.00,40.0,5.14
235.00,-5548.72,400.58,59.83,2.025,15.00,40.0,5.14
236.00,-5546.97,401.60,59.92,2.025,15.00,40.0,5.14
237.00,-5545.22,402.62,60.00,2.024,15.00,40.0,5.14
238.00,-5543.47,403.63,60.09,2.024,15.00,40.0,5.14
239.00,-5541.71,404.64,60.17,2.024,15.00,40.0,5.14
240.00,-5539.96,405.64,60.26,2.023,15.00,40.0,5.14
241.00,-5538.20,406.65,60.35,2.023,15.00,40.0,5.14
242.00,-5536.44,407.65,60.43,2.022,15.00,40.0,5.14
243.00,-5534.69,408.65,60.52,2.022,15.00,40.0,5.14
244.00,-5532.93,409.64,60.60,2.021,15.00,40.0,5.14
245.00,-5531.17,410.63,60.69,2.021,15.00,40.0,5.14
246.00,-5529.40,411.62,60.77,2.020,15.00,40.0,5.14
247.00,-5527.64,412.61,60.86,2.020,15.00,40.0,5.14
248.00,-5525.88,413.59,60.94,2.020,15.00,40.0,5.14
249.00,-5524.11,414.57,61.03,2.019,15.00,40.0,5.14
250.00,-5522.35,415.55,61.12,2.019,15.00,40.0,5.14
251.00,-5520.58,416.52,61.20,2.018,15.00,40.0,5.14
252.00,-5518.81,417.50,61.29,2.018,15.00,40.0,5.14
253.00,-5517.04,418.47,61.37,2.018,15.00,40.0,5.14
254.00,-5515.27,419.43,61.46,2.017,15.00,40.0,5.14
255.00,-5513.50,420.40,61.54,2.017,15.00,40.0,5.14
256.00,-5511.72,421.36,61.63,2.017,15.00,40.0,5.14
257.00,-5509.95,422.32,61.72,2.016,15.00,40.0,5.14
258.00,-5508.18,423.27,61.80,2.016,15.00,40.0,5.14
259.00,-5506.40,424.22,61.89,2.016,15.00,40.0,5.14
260.00,-5504.62,425.17,61.97,2.015,15.00,40.0,5.14
261.00,-5502.84,426.12,62.06,2.015,15.00,40.0,5.14
262.00,-5501.06,427.06,62.14,2.015,15.00,40.0,5.14
263.00,-5499.28,428.01,62.23,2.014,15.00,40.0,5.14
264.00,-5497.50,428.94,62.32,2.014,15.00,40.0,5.14
265.00,-5495.72,429.88,62.40,2.014,15.00,40.0,5.14
266.00,-5493.93,430.81,62.49,2.014,15.00,40.0,5.14
267.00,-5492.15,431.74,62.57,2.013,15.00,40.0,5.14
268.00,-5490.36,432.67,62.66,2.013,15.00,40.0,5.14
269.00,-5488.57,433.59,62.74,2.013,15.00,40.0,5.14
270.00,-5486.78,434.52,62.83,2.013,15.00,40.0,5.14
271.00,-5484.99,435.43,62.92,2.012,15.00,40.0,5.14
272.00,-5483.20,436.35,63.00,2.012,15.00,40.0,5.14
273.00,-5481.41,437.26,63.09,2.012,15.00,40.0,5.14
274.00,-5479.61,438.17,63.17,2.012,15.00,40.0,5.14
275.00,-5477.82,439.08,63.26,2.011,15.00,40.0,5.14
276.00,-5476.02,439.99,63.34,2.011,15.00,40.0,5.14
277.00,-5474.23,440.89,63.43,2.011,15.00,40.0,5.14
278.00,-5472.43,441.79,63.51,2.011,15.00,40.0,5.14
279.00,-5470.63,442.69,63.60,2.010,15.00,40.0,5.14
280.00,-5468.83,443.58,63.69,2.010,15.00,40.0,5.14
281.00,-5467.03,444.47,63.77,2.010,15.00,40.0,5.14
282.00,-5465.22,445.36,63.86,2.010,15.00,40.0,5.14
283.00,-5463.42,446.24,63.94,2.010,15.00,40.0,5.14
284.00,-5461.61,447.13,64.03,2.009,15.00,40.0,5.14
285.00,-5459.81,448.01,64.11,2.009,15.00,40.0,5.14
286.00,-5458.00,448.88,64.20,2.009,15.00,40.0,5.14
287.00,-5456.19,449.76,64.29,2.009,15.00,40.0,5.14
288.00,-5454.38,450.63,64.37,2.009,15.00,40.0,5.14
289.00,-5452.57,451.50,64.46,2.009,15.00,40.0,5.14
290.00,-5450.76,452.36,64.54,2.008,15.00,40.0,5.14
291.00,-5448.94,453.23,64.63,2.008,15.00,40.0,5.14
292.00,-5447.13,454.09,64.71,2.008,15.00,40.0,5.14
293.00,-5445.31,454.95,64.80,2.008,15.00,40.0,5.14
294.00,-5443.50,455.80,64.89,2.008,15.00,40.0,5.14
295.00,-5441.68,456.65,64.97,2.008,15.00,40.0,5.14
296.00,-5439.86,457.50,65.06,2.007,15.00,40.0,5.14
297.00,-5438.04,458.35,65.14,2.007,15.00,40.0,5.14
298.00,-5436.22,459.19,65.23,2.007,15.00,40.0,5.14
299.00,-5434.40,460.03,65.31,2.007,15.00,40.0,5.14
300.00,-5432.57,460.87,65.40,2.007,15.00,40.0,5.14
301.00,-5430.75,461.71,65.49,2.007,15.00,40.0,5.14
302.00,-5428.92,462.54,65.57,2.007,15.00,40.0,5.14
303.00,-5427.10,463.37,65.66,2.006,15.00,40.0,5.14
304.00,-5425.27,464.20,65.74,2.006,15.00,40.0,5.14
305.00,-5423.44,465.02,65.83,2.006,15.00,40.0,5.14
306.00,-5421.61,465.84,65.91,2.006,15.00,40.0,5.14
307.00,-5419.78,466.66,66.00,2.006,15.00,40.0,5.14
308.00,-5417.95,467.48,66.09,2.006,15.00,40.0,5.14
309.00,-5416.11,468.29,66.17,2.006,15.00,40.0,5.14
310.00,-5414.28,469.10,66.26,2.006,15.00,40.0,5.14
311.00,-5412.44,469.91,66.34,2.005,15.00,40.0,5.14
312.00,-5410.61,470.71,66.43,2.005,15.00,40.0,5.14
313.00,-5408.77,471.51,66.51,2.005,15.00,40.0,5.14
314.00,-5406.93,472.31,66.60,2.005,15.00,40.0,5.14
315.00,-5405.09,473.11,66.69,2.005,15.00,40.0,5.14
316.00,-5403.25,473.90,66.77,2.005,15.00,40.0,5.14
317.00,-5401.40,474.69,66.86,2.005,15.00,40.0,5.14
318.00,-5399.56,475.48,66.94,2.005,15.00,40.0,5.14
319.00,-5397.72,476.27,67.03,2.005,15.00,40.0,5.14
320.00,-5395.87,477.05,67.11,2.005,15.00,40.0,5.14
321.00,-5394.02,477.83,67.20,2.004,15.00,40.0,5.14
322.00,-5392.18,478.60,67.29,2.004,15.00,40.0,5.14
323.00,-5390.33,479.38,67.37,2.004,15.00,40.0,5.14
324.00,-5388.48,480.15,67.46,2.004,15.00,40.0,5.14
325.00,-5386.63,480.92,67.54,2.004,15.00,40.0,5.14
326.00,-5384.77,481.68,67.63,2.004,15.00,40.0,5.14
327.00,-5382.92,482.45,67.71,2.004,15.00,40.0,5.14
328.00,-5381.07,483.21,67.80,2.004,15.00,40.0,5.14
329.00,-5379.21,483.96,67.89,2.004,15.00,40.0,5.14
330.00,-5377.36,484.72,67.97,2.004,15.00,40.0,5.14
331.00,-5375.50,485.47,68.06,2.004,15.00,40.0,5.14
332.00,-5373.64,486.22,68.14,2.004,15.00,40.0,5.14
333.00,-5371.78,486.96,68.23,2.004,15.00,40.0,5.14
334.00,-5369.92,487.71,68.31,2.003,15.00,40.0,5.14
335.00,-5368.06,488.45,68.40,2.003,15.00,40.0,5.14
336.00,-5366.20,489.18,68.49,2.003,15.00,40.0,5.14
337.00,-5364.33,489.92,68.57,2.003,15.00,40.0,5.14
338.00,-5362.47,490.65,68.66,2.003,15.00,40.0,5.14
339.00,-5360.60,491.38,68.74,2.003,15.00,40.0,5.14
340.00,-5358.73,492.11,68.83,2.003,15.00,40.0,5.14
341.00,-5356.87,492.83,68.91,2.003,15.00,40.0,5.14
342.00,-5355.00,493.55,69.00,2.003,15.00,40.0,5.14
343.00,-5353.13,494.27,69.09,2.003,15.00,40.0,5.14
344.00,-5351.26,494.98,69.17,2.003,15.00,40.0,5.14
345.00,-5349.39,495.70,69.26,2.003,15.00,40.0,5.14
346.00,-5347.51,496.40,69.34,2.003,15.00,40.0,5.14
347.00,-5345.64,497.11,69.43,2.003,15.00,40.0,5.14
348.00,-5343.76,497.81,69.51,2.003,15.00,40.0,5.14
349.00,-5341.89,498.52,69.60,2.003,15.00,40.0,5.14
350.00,-5340.01,499.21,69.69,2.002,15.00,40.0,5.14
351.00,-5338.13,499.91,69.77,2.002,15.00,40.0,5.14
352.00,-5336.25,500.60,69.86,2.002,15.00,40.0,5.14
353.00,-5334.37,501.29,69.94,2.002,15.00,40.0,5.14
354.00,-5332.49,501.98,70.03,2.002,15.00,40.0,5.14
355.00,-5330.61,502.66,70.11,2.002,15.00,40.0,5.14
356.00,-5328.73,503.34,70.20,2.002,15.00,40.0,5.14
357.00,-5326.84,504.02,70.29,2.002,15.00,40.0,5.14
358.00,-5324.96,504.70,70.37,2.002,15.00,40.0,5.14
359.00,-5323.07,505.37,70.46,2.002,15.00,40.0,5.14
360.00,-5321.19,506.04,70.54,2.002,15.00,40.0,5.14
361.00,-5319.30,506.70,70.63,2.002,15.00,40.0,5.14
362.00,-5317.41,507.37,70.71,2.002,15.00,40.0,5.14
363.00,-5315.52,508.03,70.80,2.002,15.00,40.0,5.14
364.00,-5313.63,508.69,70.89,2.002,15.00,40.0,5.14
365.00,-5311.74,509.34,70.97,2.002,15.00,40.0,5.14
366.00,-5309.85,510.00,71.06,2.002,15.00,40.0,5.14
367.00,-5307.95,510.65,71.14,2.002,15.00,40.0,5.14
368.00,-5306.06,511.29,71.23,2.002,15.00,40.0,5.14
369.00,-5304.16,511.94,71.31,2.002,15.00,40.0,5.14
370.00,-5302.27,512.58,71.40,2.002,15.00,40.0,5.14
371.00,-5300.37,513.22,71.49,2.002,15.00,40.0,5.14
372.00,-5298.47,513.85,71.57,2.002,15.00,40.0,5.14
373.00,-5296.57,514.49,71.66,2.002,15.00,40.0,5.14
374.00,-5294.67,515.12,71.74,2.002,15.00,40.0,5.14
375.00,-5292.77,515.74,71.83,2.002,15.00,40.0,5.14
376.00,-5290.87,516.37,71.91,2.001,15.00,40.0,5.14
377.00,-5288.97,516.99,72.00,2.001,15.00,40.0,5.14
378.00,-5287.07,517.61,72.09,2.001,15.00,40.0,5.14
379.00,-5285.16,518.22,72.17,2.001,15.00,40.0,5.14
380.00,-5283.26,518.83,72.26,2.001,15.00,40.0,5.14
381.00,-5281.35,519.44,72.34,2.001,15.00,40.0,5.14
382.00,-5279.44,520.05,72.43,2.001,15.00,40.0,5.14
383.00,-5277.54,520.66,72.51,2.001,15.00,40.0,5.14
384.00,-5275.63,521.26,72.60,2.001,15.00,40.0,5.14
385.00,-5273.72,521.86,72.69,2.001,15.00,40.0,5.14
386.00,-5271.81,522.45,72.77,2.001,15.00,40.0,5.14
387.00,-5269.89,523.04,72.86,2.001,15.00,40.0,5.14
388.00,-5267.98,523.63,72.94,2.001,15.00,40.0,5.14
389.00,-5266.07,524.22,73.03,2.001,15.00,40.0,5.14
390.00,-5264.16,524.80,73.11,2.001,15.00,40.0,5.14
391.00,-5262.24,525.39,73.20,2.001,15.00,40.0,5.14
392.00,-5260.33,525.96,73.29,2.001,15.00,40.0,5.14
393.00,-5258.41,526.54,73.37,2.001,15.00,40.0,5.14
394.00,-5256.49,527.11,73.46,2.001,15.00,40.0,5.14
395.00,-5254.57,527.68,73.54,2.001,15.00,40.0,5.14
396.00,-5252.65,528.25,73.63,2.001,15.00,40.0,5.14
397.00,-5250.73,528.81,73.71,2.001,15.00,40.0,5.14
398.00,-5248.81,529.37,73.80,2.001,15.00,40.0,5.14
399.00,-5246.89,529.93,73.89,2.001,15.00,40.0,5.14
400.00,-5244.97,530.49,73.97,2.001,15.00,40.0,5.14
401.00,-5243.05,531.04,74.06,2.001,15.00,40.0,5.14
402.00,-5241.12,531.59,74.14,2.001,15.00,40.0,5.14
403.00,-5239.20,532.14,74.23,2.001,15.00,40.0,5.14
404.00,-5237.27,532.68,74.31,2.001,15.00,40.0,5.14
405.00,-5235.35,533.22,74.40,2.001,15.00,40.0,5.14
406.00,-5233.42,533.76,74.49,2.001,15.00,40.0,5.14
407.00,-5231.49,534.29,74.57,2.001,15.00,40.0,5.14
408.00,-5229.56,534.83,74.66,2.001,15.00,40.0,5.14
409.00,-5227.63,535.36,74.74,2.001,15.00,40.0,5.14
410.00,-5225.70,535.88,74.83,2.001,15.00,40.0,5.14
411.00,-5223.77,536.41,74.91,2.001,15.00,40.0,5.14
412.00,-5221.84,536.93,75.00,2.001,15.00,40.0,5.14
413.00,-5219.91,537.45,75.09,2.001,15.00,40.0,5.14
414.00,-5217.97,537.96,75.17,2.001,15.00,40.0,5.14
