time_s,x_m,y_m,course_deg,speed_ms,rudder_deg,rpm_percent,rot_deg_min
4.00,0.00,-3986.86,0.00,4.760,0.00,50.0,0.00
5.00,0.00,-3982.14,0.00,4.715,0.00,50.0,0.00
6.00,0.00,-3977.47,0.00,4.670,0.00,50.0,0.00
7.00,0.00,-3972.84,0.00,4.627,0.00,50.0,0.00
8.00,0.00,-3968.26,0.00,4.584,0.00,50.0,0.00
9.00,0.00,-3963.72,0.00,4.543,0.00,50.0,0.00
10.00,0.00,-3959.21,0.00,4.502,0.00,50.0,0.00
11.00,0.00,-3954.75,0.00,4.462,0.00,50.0,0.00
12.00,0.00,-3950.33,0.00,4.423,0.00,50.0,0.00
13.00,0.00,-3945.95,0.00,4.384,0.00,50.0,0.00
14.00,0.00,-3941.60,0.00,4.346,0.00,50.0,0.00
15.00,0.00,-3937.29,0.00,4.309,0.00,50.0,0.00
16.00,0.00,-3933.02,0.00,4.273,0.00,50.0,0.00
17.00,0.00,-3928.78,0.00,4.238,0.00,50.0,0.00
18.00,0.00,-3924.58,0.00,4.203,0.00,50.0,0.00
19.00,0.00,-3920.41,0.00,4.169,0.00,50.0,0.00
20.00,0.00,-3916.27,0.00,4.136,0.00,50.0,0.00
21.00,0.00,-3912.17,0.00,4.103,0.00,50.0,0.00
22.00,0.00,-3908.10,0.00,4.071,0.00,50.0,0.00
23.00,0.00,-3904.06,0.00,4.039,0.00,50.0,0.00
24.00,0.00,-3900.05,0.00,4.009,0.00,50.0,0.00
25.00,0.00,-3896.07,0.00,3.978,0.00,50.0,0.00
26.00,0.00,-3892.12,0.00,3.949,0.00,50.0,0.00
27.00,0.00,-3888.20,0.00,3.920,0.00,50.0,0.00
28.00,0.00,-3884.31,0.00,3.892,0.00,50.0,0.00
29.00,0.00,-3880.45,0.00,3.864,0.00,50.0,0.00
30.00,0.00,-3876.61,0.00,3.836,0.00,50.0,0.00
31.00,0.00,-3872.80,0.00,3.810,0.00,50.0,0.00
32.00,0.00,-3869.02,0.00,3.784,0.00,50.0,0.00
33.00,0.00,-3865.26,0.00,3.758,5.00,50.0,0.06
34.00,0.00,-3861.53,0.00,3.733,5.00,50.0,0.11
35.00,0.00,-3857.82,0.01,3.708,5.00,50.0,0.17
36.00,0.00,-3854.13,0.01,3.684,5.00,50.0,0.22
37.00,0.00,-3850.47,0.01,3.660,5.00,50.0,0.27
38.00,0.00,-3846.84,0.02,3.637,5.00,50.0,0.32
39.00,0.00,-3843.22,0.02,3.614,5.00,50.0,0.36
40.00,0.00,-3839.63,0.03,3.592,5.00,50.0,0.41
41.00,0.01,-3836.06,0.04,3.570,10.00,50.0,0.51
42.00,0.01,-3832.51,0.05,3.549,10.00,50.0,0.61
43.00,0.01,-3828.98,0.06,3.528,10.00,50.0,0.70
44.00,0.02,-3825.48,0.08,3.507,10.00,50.0,0.79
45.00,0.02,-3821.99,0.09,3.487,10.00,50.0,0.88
46.00,0.03,-3818.52,0.11,3.467,10.00,50.0,0.96
47.00,0.03,-3815.08,0.12,3.448,10.00,50.0,1.05
48.00,0.04,-3811.65,0.14,3.429,10.00,50.0,1.12
49.00,0.05,-3808.24,0.16,3.410,15.00,50.0,1.26
50.00,0.06,-3804.84,0.19,3.392,15.00,50.0,1.39
51.00,0.07,-3801.47,0.21,3.374,15.00,50.0,1.51
52.00,0.08,-3798.11,0.24,3.357,15.00,50.0,1.63
53.00,0.10,-3794.77,0.27,3.340,15.00,50.0,1.75
54.00,0.11,-3791.45,0.30,3.323,15.00,50.0,1.86
55.00,0.13,-3788.14,0.33,3.306,15.00,50.0,1.97
56.00,0.15,-3784.85,0.37,3.290,15.00,50.0,2.08
57.00,0.17,-3781.58,0.40,3.275,15.00,50.0,2.18
58.00,0.19,-3778.32,0.44,3.259,20.00,50.0,2.34
59.00,0.22,-3775.08,0.48,3.244,20.00,50.0,2.49
60.00,0.24,-3771.85,0.53,3.229,20.00,50.0,2.63
61.00,0.27,-3768.63,0.57,3.214,20.00,50.0,2.77
62.00,0.30,-3765.43,0.62,3.200,20.00,50.0,2.91
63.00,0.34,-3762.25,0.67,3.186,20.00,50.0,3.04
64.00,0.38,-3759.07,0.73,3.172,20.00,50.0,3.17
65.00,0.42,-3755.92,0.78,3.159,20.00,50.0,3.29
66.00,0.46,-3752.77,0.84,3.146,20.00,50.0,3.41
67.00,0.51,-3749.64,0.90,3.133,20.00,50.0,3.53
68.00,0.55,-3746.52,0.96,3.120,20.00,50.0,3.64
69.00,0.61,-3743.41,1.02,3.108,20.00,50.0,3.74
70.00,0.66,-3740.32,1.08,3.096,20.00,50.0,3.85
71.00,0.72,-3737.23,1.15,3.084,20.00,50.0,3.95
